Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Single,Referral,5,Medicine,Daytime,Bachelor,Foreign,Bachelor,Bachelor,Employed,Unemployed,0,0,1,0,Female,1,20,0,4,8,6,3,17.83,3,4,5,6,0,10.37,1,14.31,3.62,43461.66
Single,Referral,1,Arts,Evening,Bachelor,Foreign,Bachelor,High School,Unemployed,Employed,1,1,1,1,Male,0,23,0,4,1,2,8,0.06,1,1,6,8,6,3.59,3,3.51,8.64,12438.6
Married,In-person,5,Engineering,Evening,High School,Foreign,Bachelor,Bachelor,Self-employed,Unemployed,1,1,1,1,Female,0,26,1,1,5,8,3,0.8,3,8,7,1,4,19.41,2,8.36,1.1,43441.74
Divorced,Online,5,Science,Evening,Bachelor,Foreign,Master,High School,Employed,Unemployed,0,0,0,1,Female,0,34,0,4,3,4,1,12.08,2,7,9,1,7,2.27,4,3.84,9.25,27084.43
Divorced,Referral,5,Science,Evening,High School,Local,High School,Bachelor,Unemployed,Self-employed,1,1,0,0,Female,0,35,1,3,1,8,9,18.15,2,2,3,2,3,8.07,3,11.75,6.32,23295.06
Married,Online,3,Medicine,Evening,Bachelor,Foreign,Master,None,Employed,Unemployed,0,0,0,1,Male,0,20,1,0,4,7,4,4.78,2,7,2,6,6,14.76,1,10.3,0.54,45643.59
Divorced,In-person,4,Engineering,Daytime,High School,Local,Master,Master,Unemployed,Self-employed,1,0,1,0,Male,0,26,1,2,8,5,2,9.39,2,8,3,9,4,14.09,1,11.48,6.44,32173.29
Divorced,In-person,2,Medicine,Daytime,High School,Foreign,Bachelor,Bachelor,Employed,Employed,0,0,1,0,Male,0,17,1,0,3,8,8,9.01,0,2,9,4,4,8.45,2,7.49,9.74,30947.63
Single,Referral,3,Law,Daytime,High School,Foreign,Bachelor,Bachelor,Employed,Self-employed,0,0,0,0,Female,1,39,1,4,2,9,3,9.46,0,2,7,3,8,6.93,1,7.43,0.7,30144.47
Divorced,In-person,5,Medicine,Daytime,Bachelor,Local,None,Master,Self-employed,Employed,1,1,1,0,Female,1,34,0,3,9,5,5,12.45,4,1,9,8,8,7.95,0,3.54,5.55,21702.63
Divorced,Online,1,Medicine,Evening,Bachelor,Foreign,None,Bachelor,Employed,Self-employed,0,0,1,1,Male,0,21,1,6,5,5,1,9.39,1,7,2,9,8,5.29,4,7.2,7.48,40353.94
Married,Referral,5,Science,Daytime,Bachelor,Foreign,Master,Bachelor,Unemployed,Unemployed,1,1,1,0,Female,1,31,0,4,7,2,5,8.95,3,9,5,5,5,4.11,3,14.15,8.1,16375.93
Married,Online,4,Science,Evening,High School,Foreign,High School,High School,Unemployed,Self-employed,1,1,0,0,Male,1,33,0,9,2,5,2,9.49,3,0,4,9,5,9.66,4,7.55,4.14,47250.27
Single,Online,5,Science,Daytime,Bachelor,Local,Bachelor,Master,Self-employed,Self-employed,0,1,1,1,Male,1,19,1,3,9,3,8,11.82,0,7,2,2,4,5.37,2,12.98,2.04,45229.33
Divorced,In-person,1,Law,Evening,Bachelor,Foreign,Bachelor,None,Unemployed,Employed,0,1,1,1,Female,1,28,1,1,9,7,1,10.74,3,6,9,3,8,5.75,3,13.11,0.42,20186.61
Divorced,In-person,4,Science,Evening,High School,Local,Master,Bachelor,Unemployed,Unemployed,1,0,0,0,Female,0,18,1,3,4,5,8,17.08,0,6,9,7,9,13.14,3,7.48,5.8,37825.87
Divorced,In-person,5,Engineering,Daytime,Master,Foreign,None,Master,Unemployed,Self-employed,0,0,0,1,Female,1,17,1,1,4,8,4,0.99,4,2,6,7,7,19.37,0,10.58,4.53,30795.04
Single,In-person,4,Arts,Daytime,High School,Local,High School,High School,Employed,Unemployed,0,1,1,0,Female,1,39,1,7,6,1,7,16.67,1,0,6,6,6,12.07,2,4.14,9.49,20194.22
Single,In-person,2,Engineering,Daytime,Bachelor,Local,None,None,Employed,Self-employed,0,1,1,0,Male,1,37,0,2,6,3,1,16.88,4,3,8,6,6,1.54,1,4.24,0.61,49483.47
